;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 2023-01-23 3:51:09 AM
;----------------------------------------------

;Address Opcode 	ASM
0x0000	0x2DF4      	GOTO       1524
_interrupt:
0x0004	0x00FF      	MOVWF      R15
0x0005	0x0E03      	SWAPF      STATUS, 0
0x0006	0x0183      	CLRF       STATUS
0x0007	0x1683      	BSF        STATUS, 5
0x0008	0x00E5      	MOVWF      ___saveSTATUS
0x0009	0x080A      	MOVF       PCLATH, 0
0x000A	0x00E4      	MOVWF      ___savePCLATH
0x000B	0x018A      	CLRF       PCLATH
0x000C	0x0870      	MOVF       R0, 0
0x000D	0x1283      	BCF        STATUS, 5
0x000E	0x00AD      	MOVWF      45
0x000F	0x0871      	MOVF       R1, 0
0x0010	0x00AC      	MOVWF      44
0x0011	0x0872      	MOVF       R2, 0
0x0012	0x00AB      	MOVWF      43
0x0013	0x0873      	MOVF       R3, 0
0x0014	0x00AA      	MOVWF      42
0x0015	0x0874      	MOVF       R4, 0
0x0016	0x00A9      	MOVWF      41
0x0017	0x0875      	MOVF       R5, 0
0x0018	0x00A8      	MOVWF      40
0x0019	0x0876      	MOVF       R6, 0
0x001A	0x00A7      	MOVWF      39
0x001B	0x0877      	MOVF       R7, 0
0x001C	0x00A6      	MOVWF      38
0x001D	0x0878      	MOVF       R8, 0
0x001E	0x00A5      	MOVWF      37
0x001F	0x0879      	MOVF       R9, 0
0x0020	0x00A4      	MOVWF      36
0x0021	0x087A      	MOVF       R10, 0
0x0022	0x00A3      	MOVWF      35
0x0023	0x087B      	MOVF       R11, 0
0x0024	0x00A2      	MOVWF      34
0x0025	0x087C      	MOVF       R12, 0
0x0026	0x00A1      	MOVWF      33
0x0027	0x0804      	MOVF       FSR, 0
0x0028	0x00AE      	MOVWF      46
;FinalCode.c,27 :: 		void interrupt (void){
;FinalCode.c,29 :: 		buzz_ctr++;
0x0029	0x0AE6      	INCF       _buzz_ctr, 1
0x002A	0x1903      	BTFSC      STATUS, 2
0x002B	0x0AE7      	INCF       _buzz_ctr+1, 1
;FinalCode.c,30 :: 		if (PIR1 & 0x01) // Check if the interrupt is caused by TMR1
0x002C	0x1C0C      	BTFSS      PIR1, 0
0x002D	0x2840      	GOTO       L_interrupt29
;FinalCode.c,32 :: 		servo_ctr++;
0x002E	0x0AE9      	INCF       _servo_ctr, 1
;FinalCode.c,33 :: 		if ( servo_ctr >= 0)
0x002F	0x3000      	MOVLW      0
0x0030	0x0269      	SUBWF      _servo_ctr, 0
0x0031	0x1C03      	BTFSS      STATUS, 0
0x0032	0x2834      	GOTO       L_interrupt30
